Instance,Time,Config,Best_Cost_1,Best_Cost_2,Best_Cost_3,Best_Cost_4,Best_Cost_5
scp41,180,BRKGA config1,440,446,448,451,440
scp41,180,BRKGA config2,436,434,442,442,443
scp41,60,BRKGA config1,455,462,458,456,456
scp41,60,BRKGA config2,450,450,462,459,460
scp42,180,BRKGA config1,553,557,550,569,542
scp42,180,BRKGA config2,556,551,545,559,539
scp42,60,BRKGA config1,584,570,580,586,576
scp42,60,BRKGA config2,597,582,587,595,569
scp51,180,BRKGA config1,317,309,318,317,313
scp51,180,BRKGA config2,334,334,334,334,325
scp51,60,BRKGA config1,334,334,334,334,334
scp51,60,BRKGA config2,334,334,334,334,334
scp52,180,BRKGA config1,409,424,421,440,414
scp52,180,BRKGA config2,457,424,457,457,457
scp52,60,BRKGA config1,457,457,457,457,457
scp52,60,BRKGA config2,457,457,457,457,457
scp61,180,BRKGA config1,155,152,151,154,159
scp61,180,BRKGA config2,155,148,153,153,155
scp61,60,BRKGA config1,165,175,172,159,169
scp61,60,BRKGA config2,176,162,165,166,168
scp62,180,BRKGA config1,165,158,161,157,158
scp62,180,BRKGA config2,155,154,155,157,163
scp62,60,BRKGA config1,168,168,171,172,178
scp62,60,BRKGA config2,180,182,180,175,186
scpa1,180,BRKGA config1,348,348,348,348,348
scpa1,180,BRKGA config2,348,348,348,348,348
scpa1,60,BRKGA config1,348,348,348,348,348
scpa1,60,BRKGA config2,348,348,348,348,348
scpa2,180,BRKGA config1,378,378,378,378,378
scpa2,180,BRKGA config2,378,378,378,378,378
scpa2,60,BRKGA config1,378,378,378,378,378
scpa2,60,BRKGA config2,378,378,378,378,378
scpb1,180,BRKGA config1,101,101,101,101,101
scpb1,180,BRKGA config2,101,101,101,101,101
scpb1,420,BRKGA config1,101,101,101,101,101
scpb1,60,BRKGA config1,101,101,101,101,101
scpb1,60,BRKGA config2,101,101,101,101,101
scpb2,180,BRKGA config1,117,117,117,117,117
scpb2,180,BRKGA config2,117,117,117,117,117
scpb2,420,BRKGA config1,117,117,117,117,117
scpb2,60,BRKGA config1,117,117,117,117,117
scpb2,60,BRKGA config2,117,117,117,117,117
scpc1,180,BRKGA config1,305,305,305,305,305
scpc1,180,BRKGA config2,305,305,305,305,305
scpc1,420,BRKGA config1,305,305,305,305,305
scpc1,60,BRKGA config1,305,305,305,305,305
scpc1,60,BRKGA config2,305,305,305,305,305
scpc2,180,BRKGA config1,309,309,309,309,309
scpc2,180,BRKGA config2,309,309,309,309,309
scpc2,420,BRKGA config1,309,309,309,309,309
scpc2,60,BRKGA config1,309,309,309,309,309
scpc2,60,BRKGA config2,309,309,309,309,309
scpd1,180,BRKGA config1,92,92,92,92,92
scpd1,180,BRKGA config2,92,92,92,92,92
scpd1,420,BRKGA config1,92,92,92,92,92
scpd1,60,BRKGA config1,92,92,92,92,92
scpd1,60,BRKGA config2,92,92,92,92,92
scpd2,60,BRKGA config1,96,96,96,96,96
scpd2,60,BRKGA config2,
